"CatalogDate","CatalogID","CatalogName","Image","Itemnumber","ItemCategory","ItemSubcat2","ItemSubcat3","ItemSubcat4","ItemSubcat5","Description","Parts/Merch/EquipCode","PurchaseUOM","Weight","WeightUOM","Length","Width","Height","SizeUOM","ListPrice","NetPrice","Currency","CatalogDetailedDescription","ItemDetailedDescription"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10425727","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALEPIPE","","","3""BAUERFEMALESOCKETXFEMALEPIPETHREAD","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","3""BAUERFEMALESOCKETXFEMALEPIPETHREAD"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10425893","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALEPIPE","","","2""BAUERFEMALESOCKETXFEMALEPIPETHREAD","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","2""BAUERFEMALESOCKETXFEMALEPIPETHREAD"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422701","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALESOCKETXMALEBALLWYE","","","4""BAUERFEMALESOCKETXFEMALESOCKETXMALEBALLWYE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","4""BAUERFEMALESOCKETXFEMALESOCKETXMALEBALLWYE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422710","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALESOCKETXMALEBALLWYE","","","6""BAUERFEMALESOCKETXFEMALESOCKETXMALEBALLWYE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","6""BAUERFEMALESOCKETXFEMALESOCKETXMALEBALLWYE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422719","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXFEMALESOCKETXMALEBALLWYE","","","8""BAUERFEMALESOCKETXFEMALESOCKETXMALEBALLWYE","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","8""BAUERFEMALESOCKETXFEMALESOCKETXMALEBALLWYE"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10091831","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXHOSESHANK","","","6""BAUERFEMALESOCKETXHOSESHANKBANDONLY","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","6""BAUERFEMALESOCKETXHOSESHANKBANDONLY"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10177573","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXHOSESHANK","","","4""BAUERFEMALESOCKETXHOSESHANKBANDONLY","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","4""BAUERFEMALESOCKETXHOSESHANKBANDONLY"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10322908","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXHOSESHANK","","","8""BAUERFEMALESOCKETXHOSESHANKBANDONLY","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","8""BAUERFEMALESOCKETXHOSESHANKBANDONLY"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422675","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXHOSESHANK","","","10""BAUERFEMALESOCKETXHOSESHANKBANDONLY","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","10""BAUERFEMALESOCKETXHOSESHANKBANDONLY"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10422679","INDUSTRIALFITTINGS&ACCESSORIES","BAUERFITTINGS","FEMALESOCKETXHOSESHANK","","","12""BAUERFEMALESOCKETXHOSESHANKBANDONLY","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","12""BAUERFEMALESOCKETXHOSESHANKBANDONLY"
